time,discharge
2015-03-31 08:30:00,56.276
2015-03-31 08:45:00,56.7066
2015-03-31 09:00:00,56.3833
2015-03-31 09:15:00,56.5986
2015-03-31 09:30:00,56.3833
2015-03-31 09:45:00,55.9556
2015-03-31 10:00:00,56.169
2015-03-31 10:15:00,55.8492
2015-03-31 10:30:00,55.216
2015-03-31 10:45:00,54.9025
2015-03-31 11:00:00,55.216
2015-03-31 11:15:00,54.2819
2015-03-31 11:30:00,54.5912
2015-03-31 11:45:00,54.6947
2015-03-31 12:00:00,54.1793
2015-03-31 12:15:00,54.3848
2015-03-31 12:30:00,54.7985
2015-03-31 12:45:00,54.3848
2015-03-31 13:00:00,54.0769
2015-03-31 13:15:00,54.3848
2015-03-31 13:30:00,53.8728
2015-03-31 13:45:00,54.0769
2015-03-31 14:00:00,53.4674
2015-03-31 14:15:00,53.6697
2015-03-31 14:30:00,52.767
2015-03-31 14:45:00,52.569
2015-03-31 15:00:00,52.078
2015-03-31 15:15:00,52.1757
2015-03-31 15:30:00,51.8833
2015-03-31 15:45:00,52.1757
2015-03-31 16:00:00,51.8833
2015-03-31 16:15:00,51.1136
2015-03-31 16:30:00,50.9235
2015-03-31 16:45:00,51.4004
2015-03-31 17:00:00,51.8833
2015-03-31 17:15:00,52.966
2015-03-31 17:30:00,53.3667
2015-03-31 17:45:00,53.2661
2015-03-31 18:00:00,54.2819
2015-03-31 18:15:00,54.7985
2015-03-31 18:30:00,54.9025
2015-03-31 18:45:00,55.6372
2015-03-31 19:00:00,55.7431
2015-03-31 19:15:00,55.8492
2015-03-31 19:30:00,55.8492
2015-03-31 19:45:00,55.9556
2015-03-31 20:00:00,56.3833
2015-03-31 20:15:00,56.7066
2015-03-31 20:30:00,56.5986
2015-03-31 20:45:00,56.7066
2015-03-31 21:00:00,57.9097
2015-03-31 21:15:00,57.0319
2015-03-31 21:30:00,57.6889
2015-03-31 21:45:00,57.7992
2015-03-31 22:00:00,58.0205
2015-03-31 22:15:00,57.6889
2015-03-31 22:30:00,56.8148
2015-03-31 22:45:00,57.1408
2015-03-31 23:00:00,57.5788
2015-03-31 23:15:00,58.2428
2015-03-31 23:30:00,58.2428
2015-03-31 23:45:00,57.7992
2015-04-01 00:00:00,59.028
2015-04-01 00:15:00,58.466
2015-04-01 00:30:00,59.4818
2015-04-01 00:45:00,60.0543
2015-04-01 01:00:00,58.8025
2015-04-01 01:15:00,59.4818
2015-04-01 01:30:00,59.8246
2015-04-01 01:45:00,60.2849
2015-04-01 02:00:00,61.4521
2015-04-01 02:15:00,61.2168
2015-04-01 02:30:00,61.2168
2015-04-01 02:45:00,60.8656
2015-04-01 03:00:00,61.6883
2015-04-01 03:15:00,62.4025
2015-04-01 03:30:00,60.8656
2015-04-01 03:45:00,61.4521
2015-04-01 04:00:00,62.4025
2015-04-01 04:15:00,61.8067
2015-04-01 04:30:00,62.1635
2015-04-01 04:45:00,62.1635
2015-04-01 05:00:00,62.5224
2015-04-01 05:15:00,62.0443
2015-04-01 05:30:00,62.4025
2015-04-01 05:45:00,62.8833
2015-04-01 06:00:00,62.2829
2015-04-01 06:15:00,62.6424
2015-04-01 06:30:00,62.5224
2015-04-01 06:45:00,62.1635
2015-04-01 07:00:00,61.8067
2015-04-01 07:15:00,62.2829
2015-04-01 07:30:00,62.0443
2015-04-01 07:45:00,61.9254
2015-04-01 08:00:00,61.6883
2015-04-01 08:15:00,61.6883
2015-04-01 08:30:00,61.8067
2015-04-01 08:45:00,61.0995
2015-04-01 09:00:00,61.5701
2015-04-01 09:15:00,60.749
2015-04-01 09:30:00,60.8656
2015-04-01 09:45:00,60.9824
2015-04-01 10:00:00,61.0995
2015-04-01 10:15:00,60.2849
2015-04-01 10:30:00,61.0995
2015-04-01 10:45:00,59.7101
